,QKOV,Key,Query,Value
497,0.1306, frequencies of occurrences or items in lists and counts,conditional statements or phrases,
498,0.1306, frequencies of occurrences or items in lists and counts,references to numerical values and their occurrences,
499,0.1306, frequencies of occurrences or items in lists and counts,references to criminal activity and legal proceedings,
500,0.1306, frequencies of occurrences or items in lists and counts,"references to specific companies, products, and notable figures in the audio and entertainment industry",
501,0.1306, frequencies of occurrences or items in lists and counts,references to items or objects in a structured format,
502,0.1306, frequencies of occurrences or items in lists and counts,keywords and phrases related to programming logic and structures in a code context,
503,0.1306, frequencies of occurrences or items in lists and counts, programming code elements and syntax,
504,0.1306, frequencies of occurrences or items in lists and counts,software build and testing information,
505,0.1306, frequencies of occurrences or items in lists and counts,the presence of legal or judicial terminology,
506,0.1306, frequencies of occurrences or items in lists and counts,elements related to data structures and their operations,
507,0.1306, frequencies of occurrences or items in lists and counts,technical terms and phrases related to scientific analysis and research methodologies,
508,0.1306, frequencies of occurrences or items in lists and counts,references and citations in a document,
509,0.1306, frequencies of occurrences or items in lists and counts," programming language syntax elements, particularly those related to function and error handling",
510,0.1306, frequencies of occurrences or items in lists and counts,"actions involving ""catch"" and similar verbs",
511,-0.1302,"contexts related to health, particularly issues surrounding mortality and medical conditions", phrases related to legal expenses and costs, expressions of contrast or concession
512,-0.1302,"contexts related to health, particularly issues surrounding mortality and medical conditions", quantifiable statistics or measurements in data, expressions of contrast or concession
513,-0.1302,"contexts related to health, particularly issues surrounding mortality and medical conditions",references to scams and fraudulent activities, expressions of contrast or concession
514,-0.1302,"contexts related to health, particularly issues surrounding mortality and medical conditions", structured data presentation and numerical information, expressions of contrast or concession
515,-0.1301,expressions of unfortunate circumstances or negative outcomes,references to design elements that maximize space efficiency,descriptions of scientific experimental setups and materials used in research
516,-0.1301,expressions of unfortunate circumstances or negative outcomes,expressions of unfortunate circumstances or negative outcomes,descriptions of scientific experimental setups and materials used in research
517,-0.1301,expressions of unfortunate circumstances or negative outcomes, programming constructs related to data types and structures,descriptions of scientific experimental setups and materials used in research
518,0.1299,numeric sequences or data points related to measurements and percentages,domain names and URLs related to websites,terms related to scientific research and medical conditions
519,0.1299,numeric sequences or data points related to measurements and percentages,terms related to financial transactions and deposits,terms related to scientific research and medical conditions
520,0.1299,numeric sequences or data points related to measurements and percentages,references to various medical conditions and their impacts,terms related to scientific research and medical conditions
521,0.1296, phrases that indicate duration or time-related references,elements related to data structures and their operations,"references to studies, reasons, and explanations associated with research or clinical findings"
522,-0.1289,mathematical notations and symbols, phrases related to authority and compliance,genes associated with tumor regulation and apoptosis
523,-0.1289,mathematical notations and symbols,references to educational or professional affiliations and roles,genes associated with tumor regulation and apoptosis
524,0.1278, references to policy and decision-making, references to specific medical conditions and diagnostic terms,references to coping mechanisms and resourcefulness in challenging situations
525,0.1278, references to policy and decision-making,references to bathrooms and related fixtures,references to coping mechanisms and resourcefulness in challenging situations
526,0.1278, references to policy and decision-making,phrases indicating recalls or defects in products,references to coping mechanisms and resourcefulness in challenging situations
527,0.1278, references to policy and decision-making,sentences that discuss expressing gratitude or calling for action,references to coping mechanisms and resourcefulness in challenging situations
528,0.1278, references to policy and decision-making,specific chemical compounds and their variations,references to coping mechanisms and resourcefulness in challenging situations
529,0.1278, references to policy and decision-making,terms related to the population and cultural aspects of indigenous groups,references to coping mechanisms and resourcefulness in challenging situations
530,0.1278, references to policy and decision-making, coordinating conjunctions used to connect clauses or phrases,references to coping mechanisms and resourcefulness in challenging situations
531,0.1278, references to policy and decision-making,references to cause-and-effect relationships,references to coping mechanisms and resourcefulness in challenging situations
532,0.1278, references to policy and decision-making,discussions about social relationships and community dynamics,references to coping mechanisms and resourcefulness in challenging situations
533,0.1278, references to policy and decision-making, mathematical symbols or formatting related to equations,references to coping mechanisms and resourcefulness in challenging situations
534,-0.1277, references to private entities or individuals,terms related to financial transactions and deposits, references to structural models and their connections in a technical context
535,-0.1273,numeric sequences or data points related to measurements and percentages,references to various medical conditions and their impacts,formal titles and legal terminology related to court cases
536,-0.1273,numeric sequences or data points related to measurements and percentages,domain names and URLs related to websites,formal titles and legal terminology related to court cases
537,-0.1273,numeric sequences or data points related to measurements and percentages,terms related to financial transactions and deposits,formal titles and legal terminology related to court cases
538,0.1272,parameters and variable options in code context, coordinating conjunctions used to connect clauses or phrases,references to formal legal or administrative contexts
539,-0.1268,numerical values and their relationships in a data context, numerical patterns or symbols related to lists or sequences,"situations related to legal terminology, particularly regarding court rulings and proceedings"
540,0.1265,parameters and variable options in code context, coordinating conjunctions used to connect clauses or phrases,"references to technology and computing concepts, particularly related to systems and programming"
541,0.1265,"terms related to political and financial structures, particularly focusing on the concepts of the Deep State and corporate influence",elements related to data structures and their operations, legal terminology and concepts related to judicial processes
542,0.1265,"terms related to political and financial structures, particularly focusing on the concepts of the Deep State and corporate influence", coding references and terminology related to application structure and components, legal terminology and concepts related to judicial processes
543,0.1261, references to policy and decision-making,references to cause-and-effect relationships,concepts related to scientific measurements and assessments
544,0.1261, references to policy and decision-making, coordinating conjunctions used to connect clauses or phrases,concepts related to scientific measurements and assessments
545,0.1261, references to policy and decision-making, references to specific medical conditions and diagnostic terms,concepts related to scientific measurements and assessments
546,0.1261, references to policy and decision-making,references to bathrooms and related fixtures,concepts related to scientific measurements and assessments
547,0.1261, references to policy and decision-making,sentences that discuss expressing gratitude or calling for action,concepts related to scientific measurements and assessments
548,0.1261, references to policy and decision-making, mathematical symbols or formatting related to equations,concepts related to scientific measurements and assessments
549,-0.1261,expressions of personal opinions and reactions,expressions of unfortunate circumstances or negative outcomes, prepositions and their relationships in sentences
550,0.1261, references to policy and decision-making,phrases indicating recalls or defects in products,concepts related to scientific measurements and assessments
551,0.1261, references to policy and decision-making,discussions about social relationships and community dynamics,concepts related to scientific measurements and assessments
552,0.1261, references to policy and decision-making,terms related to the population and cultural aspects of indigenous groups,concepts related to scientific measurements and assessments
553,0.1261, references to policy and decision-making,specific chemical compounds and their variations,concepts related to scientific measurements and assessments
554,-0.1255,references to sports teams and related events,technical terms and specifications related to programming and data structures,attributes related to durability and resistance of materials
555,-0.1255,references to sports teams and related events,"elements related to programming syntax and structure, particularly in coding contexts",attributes related to durability and resistance of materials
556,-0.1255,references to sports teams and related events,terms related to financial transactions and deposits,attributes related to durability and resistance of materials
557,-0.1255,references to sports teams and related events, numerical patterns or symbols related to lists or sequences,attributes related to durability and resistance of materials
558,-0.1255,references to sports teams and related events,references to various medical conditions and their impacts,attributes related to durability and resistance of materials
559,-0.1255,references to sports teams and related events,domain names and URLs related to websites,attributes related to durability and resistance of materials
560,-0.1255,references to sports teams and related events, phrases related to legal expenses and costs,attributes related to durability and resistance of materials
561,-0.1255,references to sports teams and related events,instances of pre-trained components or methods used in programming and machine learning contexts,attributes related to durability and resistance of materials
562,-0.1255,references to sports teams and related events," phrases related to intent, support, and assistance in various contexts",attributes related to durability and resistance of materials
563,-0.1254, references to policy and decision-making,phrases indicating recalls or defects in products,mathematical expressions and technical terms in scientific contexts
564,-0.1254, references to policy and decision-making,references to bathrooms and related fixtures,mathematical expressions and technical terms in scientific contexts
565,-0.1254, references to policy and decision-making, mathematical symbols or formatting related to equations,mathematical expressions and technical terms in scientific contexts
566,-0.1254, references to policy and decision-making,terms related to the population and cultural aspects of indigenous groups,mathematical expressions and technical terms in scientific contexts
567,-0.1254, references to policy and decision-making,discussions about social relationships and community dynamics,mathematical expressions and technical terms in scientific contexts
568,-0.1254, references to policy and decision-making, references to specific medical conditions and diagnostic terms,mathematical expressions and technical terms in scientific contexts
569,-0.1254, references to policy and decision-making,references to cause-and-effect relationships,mathematical expressions and technical terms in scientific contexts
570,-0.1254, references to policy and decision-making,specific chemical compounds and their variations,mathematical expressions and technical terms in scientific contexts
571,-0.1254, references to policy and decision-making, coordinating conjunctions used to connect clauses or phrases,mathematical expressions and technical terms in scientific contexts
572,-0.1254, references to policy and decision-making,sentences that discuss expressing gratitude or calling for action,mathematical expressions and technical terms in scientific contexts
573,-0.12494, programming constructs related to data types and structures,references to design elements that maximize space efficiency, sequences or structures in numerical or coded data
574,-0.12494, programming constructs related to data types and structures, programming constructs related to data types and structures, sequences or structures in numerical or coded data
575,0.1249,"substrings and patterns in sequences, particularly those that resemble specific motifs or repeated sequences",references to items or objects in a structured format,administrative information and contact details related to services
576,0.12476,"special characters, particularly underscores and hyphens in code or script contexts",references to criminal activity and legal proceedings,administrative information and contact details related to services
577,0.12463,HTML attributes and element classes used in forms and user interface components,elements related to data structures and their operations, occurrences of event-related programming terms and structures
578,0.1243,"specific proper nouns, particularly names and titles",domain names and URLs related to websites,medical terminologies related to glandular and tissue conditions
579,0.1243,"specific proper nouns, particularly names and titles",terms related to financial transactions and deposits,medical terminologies related to glandular and tissue conditions
580,0.1243,"specific proper nouns, particularly names and titles",references to various medical conditions and their impacts,medical terminologies related to glandular and tissue conditions
581,0.1243,"special characters, particularly underscores and hyphens in code or script contexts",references to criminal activity and legal proceedings,references to variables and factors influencing specific medical conditions or research findings
582,0.1242, references to policy and decision-making, references to specific medical conditions and diagnostic terms,mentions of various types of ropes and their interactions
583,0.1242, references to policy and decision-making,discussions about social relationships and community dynamics,mentions of various types of ropes and their interactions
584,0.1242, references to policy and decision-making,sentences that discuss expressing gratitude or calling for action,mentions of various types of ropes and their interactions
585,0.1242, references to policy and decision-making, coordinating conjunctions used to connect clauses or phrases,mentions of various types of ropes and their interactions
586,0.1242, references to policy and decision-making,references to bathrooms and related fixtures,mentions of various types of ropes and their interactions
587,0.1242, references to policy and decision-making,references to cause-and-effect relationships,mentions of various types of ropes and their interactions
588,0.1242, references to policy and decision-making, mathematical symbols or formatting related to equations,mentions of various types of ropes and their interactions
589,0.1242, references to policy and decision-making,specific chemical compounds and their variations,mentions of various types of ropes and their interactions
590,0.1242, references to policy and decision-making,terms related to the population and cultural aspects of indigenous groups,mentions of various types of ropes and their interactions
591,0.1242, references to policy and decision-making,phrases indicating recalls or defects in products,mentions of various types of ropes and their interactions
592,0.1241,expressions of personal opinions and reactions,expressions of unfortunate circumstances or negative outcomes,mathematical equations and physical variables related to scientific concepts
593,0.12396,references to sports teams and related events,terms related to financial transactions and deposits,references to coping mechanisms and resourcefulness in challenging situations
594,0.12396,references to sports teams and related events," phrases related to intent, support, and assistance in various contexts",references to coping mechanisms and resourcefulness in challenging situations
595,0.12396,references to sports teams and related events, numerical patterns or symbols related to lists or sequences,references to coping mechanisms and resourcefulness in challenging situations
596,0.12396,references to sports teams and related events,instances of pre-trained components or methods used in programming and machine learning contexts,references to coping mechanisms and resourcefulness in challenging situations
597,0.12396,references to sports teams and related events,"elements related to programming syntax and structure, particularly in coding contexts",references to coping mechanisms and resourcefulness in challenging situations
598,0.12396,references to sports teams and related events,technical terms and specifications related to programming and data structures,references to coping mechanisms and resourcefulness in challenging situations
599,0.12396,references to sports teams and related events, phrases related to legal expenses and costs,references to coping mechanisms and resourcefulness in challenging situations
600,0.12396,references to sports teams and related events,references to various medical conditions and their impacts,references to coping mechanisms and resourcefulness in challenging situations
601,0.12396,references to sports teams and related events,domain names and URLs related to websites,references to coping mechanisms and resourcefulness in challenging situations
602,-0.1237,references to sports teams and related events,technical terms and specifications related to programming and data structures,"situations related to legal terminology, particularly regarding court rulings and proceedings"
603,0.1237, references to private entities or individuals,terms related to financial transactions and deposits,conditional phrases and references to evidence or support
604,-0.1237,references to sports teams and related events,references to various medical conditions and their impacts,"situations related to legal terminology, particularly regarding court rulings and proceedings"
605,-0.1237,references to sports teams and related events,domain names and URLs related to websites,"situations related to legal terminology, particularly regarding court rulings and proceedings"
606,-0.1237,references to sports teams and related events,"elements related to programming syntax and structure, particularly in coding contexts","situations related to legal terminology, particularly regarding court rulings and proceedings"
607,-0.1237,references to sports teams and related events," phrases related to intent, support, and assistance in various contexts","situations related to legal terminology, particularly regarding court rulings and proceedings"
608,-0.1237,references to sports teams and related events,terms related to financial transactions and deposits,"situations related to legal terminology, particularly regarding court rulings and proceedings"
609,-0.1237,references to sports teams and related events,instances of pre-trained components or methods used in programming and machine learning contexts,"situations related to legal terminology, particularly regarding court rulings and proceedings"
610,-0.1237,references to sports teams and related events, phrases related to legal expenses and costs,"situations related to legal terminology, particularly regarding court rulings and proceedings"
611,-0.1237,references to sports teams and related events, numerical patterns or symbols related to lists or sequences,"situations related to legal terminology, particularly regarding court rulings and proceedings"
612,0.1236,code syntax and constructs related to handling errors and memory management, phrases related to authority and compliance, keywords and variables related to image processing and programming functions
613,0.12354, numerical sequences and values related to statistics or data representation,specific biochemical terms and nomenclature related to genetics and molecular biology,different types of hats and roofs
614,0.1233, punctuations and their associated contextual placements in text,elements related to data structures and their operations,technical terms and conditions related to legal fees and judgments
615,-0.1233, references to private entities or individuals,terms related to financial transactions and deposits,phrases related to implications and consequences in scientific contexts
616,0.1233, punctuations and their associated contextual placements in text,references to items or objects in a structured format,technical terms and conditions related to legal fees and judgments
617,0.1233, punctuations and their associated contextual placements in text,terms related to modifications and adjustments in settings or parameters,technical terms and conditions related to legal fees and judgments
618,0.1233, punctuations and their associated contextual placements in text,mentions of family relationships and their roles in military contexts,technical terms and conditions related to legal fees and judgments
619,-0.12317," instances of the word ""force"" and variations related to coercion or compulsion",elements related to data structures and their operations, phrases and terms related to legal and procedural contexts
620,-0.1228,references to surface-related concepts and properties, numerical patterns or symbols related to lists or sequences, demographic statistics related to income and household composition
621,0.12225,code related to database operations and records management, specific numerical data or results,content related to scientific publications and technical specifications
622,0.1222,terms related to optimization and efficiency,complex structured elements in data,"instances of the word ""anyway"" or its variations to indicate a shift in conversation"
623,0.1218, instances of commas and punctuation that lead into statements or clauses," references to gender, race, and social representation issues","references to technology and computing concepts, particularly related to systems and programming"
624,0.1218, instances of commas and punctuation that lead into statements or clauses, topics related to social media engagement and interactions,"references to technology and computing concepts, particularly related to systems and programming"
625,0.1218, instances of commas and punctuation that lead into statements or clauses, coordinating conjunctions used to connect clauses or phrases,"references to technology and computing concepts, particularly related to systems and programming"
626,0.1218, instances of commas and punctuation that lead into statements or clauses, frequencies of occurrences or items in lists and counts,"references to technology and computing concepts, particularly related to systems and programming"
627,0.1218, instances of commas and punctuation that lead into statements or clauses, structured data presentation and numerical information,"references to technology and computing concepts, particularly related to systems and programming"
628,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles",various sounds and noises described in the text, numerical values and data points relevant to scientific contexts
629,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles",phrases related to safety features and usability in products, numerical values and data points relevant to scientific contexts
630,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles",escape characters and line breaks in code-related contexts, numerical values and data points relevant to scientific contexts
631,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles", numeric data and identifiers, numerical values and data points relevant to scientific contexts
632,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles", frequencies of occurrences or items in lists and counts, numerical values and data points relevant to scientific contexts
633,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles", phrases related to authority and compliance, numerical values and data points relevant to scientific contexts
634,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles",technical terms and components related to mechanical or electrical fittings and assemblies, numerical values and data points relevant to scientific contexts
635,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles"," instances of the word ""instead"" and its variations, indicating a preference for alternatives or changes in perspective", numerical values and data points relevant to scientific contexts
636,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles",elements and terms related to numbers or mathematical expressions, numerical values and data points relevant to scientific contexts
637,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles",actions and processes related to experimentation and change, numerical values and data points relevant to scientific contexts
638,0.12134,"references to individuals named Paul, particularly in a context that highlights their actions or roles", sequences of underscores or blank spaces representing formatting or structure in code, numerical values and data points relevant to scientific contexts
639,0.1211,structured document formats or programming syntax,terms related to scientific variables and complex interactions, phrases and terms related to legal and procedural contexts
640,0.12036,HTML attributes and element classes used in forms and user interface components,elements related to data structures and their operations,phrases indicating logical reasoning or arguments relating to implications
641,0.12024,specific structural elements or commands in programming and mathematical contexts,terms and identifiers related to programming and code generation in API documentation,keywords and phrases that indicate statistical or mathematical elements
642,0.12024,specific structural elements or commands in programming and mathematical contexts,references to diabetes,keywords and phrases that indicate statistical or mathematical elements
643,0.12024,specific structural elements or commands in programming and mathematical contexts,specific structural elements or commands in programming and mathematical contexts,keywords and phrases that indicate statistical or mathematical elements
644,0.12024,specific structural elements or commands in programming and mathematical contexts, occurrences of significant numerical data and identifiers,keywords and phrases that indicate statistical or mathematical elements
645,0.12024,specific structural elements or commands in programming and mathematical contexts,conditional statements and their structure in programming,keywords and phrases that indicate statistical or mathematical elements
646,0.12024,specific structural elements or commands in programming and mathematical contexts,instructions and guides for how to perform tasks or solve problems,keywords and phrases that indicate statistical or mathematical elements
647,0.12024,specific structural elements or commands in programming and mathematical contexts,"references to key roles and positions within organizations, particularly in relation to leadership and formal titles",keywords and phrases that indicate statistical or mathematical elements
648,0.12024,specific structural elements or commands in programming and mathematical contexts, references to view-related components in code,keywords and phrases that indicate statistical or mathematical elements
649,0.12024,specific structural elements or commands in programming and mathematical contexts,HTML or XML-like markup tags and structural elements,keywords and phrases that indicate statistical or mathematical elements
650,0.12024,specific structural elements or commands in programming and mathematical contexts,mathematical expressions and formatting related to equations,keywords and phrases that indicate statistical or mathematical elements
651,0.12024,specific structural elements or commands in programming and mathematical contexts,references to characters and relationships in narratives,keywords and phrases that indicate statistical or mathematical elements
652,0.12024,specific structural elements or commands in programming and mathematical contexts," instances of the word ""ever"" in various contexts",keywords and phrases that indicate statistical or mathematical elements
653,0.12024,specific structural elements or commands in programming and mathematical contexts,references to significant figures or events in revolutionary contexts,keywords and phrases that indicate statistical or mathematical elements
654,0.12024,specific structural elements or commands in programming and mathematical contexts,event handling and user interaction functions in programming contexts,keywords and phrases that indicate statistical or mathematical elements
655,0.12024,specific structural elements or commands in programming and mathematical contexts," references to statistical data or variables represented by ""Y""",keywords and phrases that indicate statistical or mathematical elements
656,0.12024,specific structural elements or commands in programming and mathematical contexts,elements related to code iterations and loops,keywords and phrases that indicate statistical or mathematical elements
657,0.12024,specific structural elements or commands in programming and mathematical contexts,"special characters, whitespace, or formatting elements often used in coding or data representation",keywords and phrases that indicate statistical or mathematical elements
658,0.12024,specific structural elements or commands in programming and mathematical contexts,references to apartments and living spaces,keywords and phrases that indicate statistical or mathematical elements
659,0.12024,specific structural elements or commands in programming and mathematical contexts, phrases related to legal procedures and court rulings,keywords and phrases that indicate statistical or mathematical elements
660,-0.1202, numerical sequences and values related to statistics or data representation,specific biochemical terms and nomenclature related to genetics and molecular biology, references to specific individuals and organizations in a professional context
661,0.12006,terms and concepts related to qualitative and quantitative research methodologies,terms related to financial transactions and deposits, occurrences of selectors and method calls within Objective-C or Swift code
662,-0.12006,"substrings and patterns in sequences, particularly those that resemble specific motifs or repeated sequences",references to items or objects in a structured format,mathematical equations and physical variables related to scientific concepts
663,-0.1199,structured document formats or programming syntax,terms related to scientific variables and complex interactions,references to names and personal identifiers
664,0.1198, programming constructs related to data types and structures,references to design elements that maximize space efficiency, programming-related keywords and method calls
665,0.1198, programming constructs related to data types and structures, programming constructs related to data types and structures, programming-related keywords and method calls
666,-0.1197,names or titles associated with individuals in organizational contexts,references to stock market activities and public offerings related to companies, expressions of contrast or concession
667,-0.1197,names or titles associated with individuals in organizational contexts,terms related to soil characteristics and health, expressions of contrast or concession
668,-0.1197,names or titles associated with individuals in organizational contexts,specific programming constructs or syntactic elements related to function definitions and method calls, expressions of contrast or concession
669,-0.1197,names or titles associated with individuals in organizational contexts,"elements that signify structure and organization in academic or analytical writing, particularly regarding aims and objectives", expressions of contrast or concession
670,-0.1197,names or titles associated with individuals in organizational contexts, structured data presentation and numerical information, expressions of contrast or concession
671,-0.1197,names or titles associated with individuals in organizational contexts, phrases related to legal expenses and costs, expressions of contrast or concession
672,-0.1197,names or titles associated with individuals in organizational contexts, quantifiable statistics or measurements in data, expressions of contrast or concession
673,-0.1195,terms and concepts related to qualitative and quantitative research methodologies,terms related to financial transactions and deposits,phrases related to implications and consequences in scientific contexts
674,-0.1194,terms related to medical and scientific research advancements, phrases related to legal expenses and costs, expressions of contrast or concession
675,0.1192,terms related to healthcare and research documentation,frequently occurring articles in a text,references to concepts related to degeneracy in statistics or physics
676,0.11847, coordinating conjunctions used to connect clauses or phrases,technical terms and phrases related to scientific analysis and research methodologies,"elements indicating the presence of features, attributes, or distinctions in a set of items or concepts"
677,0.11847, coordinating conjunctions used to connect clauses or phrases,"references to specific companies, products, and notable figures in the audio and entertainment industry","elements indicating the presence of features, attributes, or distinctions in a set of items or concepts"
678,0.11847, coordinating conjunctions used to connect clauses or phrases,"actions involving ""catch"" and similar verbs","elements indicating the presence of features, attributes, or distinctions in a set of items or concepts"
679,0.11847, coordinating conjunctions used to connect clauses or phrases,elements related to data structures and their operations,"elements indicating the presence of features, attributes, or distinctions in a set of items or concepts"
680,0.11847, programming constructs related to data types and structures,references to design elements that maximize space efficiency,terms and concepts related to sunlight exposure and its effects on health and visibility
681,0.11847, coordinating conjunctions used to connect clauses or phrases, expressions of indifference or lack of concern,"elements indicating the presence of features, attributes, or distinctions in a set of items or concepts"
682,0.11847, programming constructs related to data types and structures, programming constructs related to data types and structures,terms and concepts related to sunlight exposure and its effects on health and visibility
683,0.11847, coordinating conjunctions used to connect clauses or phrases,terms related to modifications and adjustments in settings or parameters,"elements indicating the presence of features, attributes, or distinctions in a set of items or concepts"
684,0.11847, coordinating conjunctions used to connect clauses or phrases, coding references and terminology related to application structure and components,"elements indicating the presence of features, attributes, or distinctions in a set of items or concepts"
685,0.11847, coordinating conjunctions used to connect clauses or phrases,the presence of legal or judicial terminology,"elements indicating the presence of features, attributes, or distinctions in a set of items or concepts"
686,0.11847, coordinating conjunctions used to connect clauses or phrases,keywords and phrases related to programming logic and structures in a code context,"elements indicating the presence of features, attributes, or distinctions in a set of items or concepts"
687,0.11774," instances of the word ""force"" and variations related to coercion or compulsion",elements related to data structures and their operations,references to names and personal identifiers
688,0.11774, high activation levels indicating critical program functions or states, numerical patterns or symbols related to lists or sequences, phrases and terms related to legal and procedural contexts
689,0.11755,specific structural elements or commands in programming and mathematical contexts,terms and identifiers related to programming and code generation in API documentation, proper nouns related to geographical locations
690,0.11755,specific structural elements or commands in programming and mathematical contexts,references to characters and relationships in narratives, proper nouns related to geographical locations
691,0.11755,specific structural elements or commands in programming and mathematical contexts," instances of the word ""ever"" in various contexts", proper nouns related to geographical locations
692,0.11755,specific structural elements or commands in programming and mathematical contexts,elements related to code iterations and loops, proper nouns related to geographical locations
693,0.11755,specific structural elements or commands in programming and mathematical contexts,"references to key roles and positions within organizations, particularly in relation to leadership and formal titles", proper nouns related to geographical locations
694,0.11755,specific structural elements or commands in programming and mathematical contexts,HTML or XML-like markup tags and structural elements, proper nouns related to geographical locations
695,0.11755,specific structural elements or commands in programming and mathematical contexts,event handling and user interaction functions in programming contexts, proper nouns related to geographical locations
696,0.11755,specific structural elements or commands in programming and mathematical contexts, references to view-related components in code, proper nouns related to geographical locations
697,0.11755,specific structural elements or commands in programming and mathematical contexts,instructions and guides for how to perform tasks or solve problems, proper nouns related to geographical locations
698,0.11755,specific structural elements or commands in programming and mathematical contexts,references to apartments and living spaces, proper nouns related to geographical locations
699,0.11755,specific structural elements or commands in programming and mathematical contexts, occurrences of significant numerical data and identifiers, proper nouns related to geographical locations
700,0.11755,specific structural elements or commands in programming and mathematical contexts,mathematical expressions and formatting related to equations, proper nouns related to geographical locations
701,0.11755,specific structural elements or commands in programming and mathematical contexts, phrases related to legal procedures and court rulings, proper nouns related to geographical locations
702,0.11755,specific structural elements or commands in programming and mathematical contexts,"special characters, whitespace, or formatting elements often used in coding or data representation", proper nouns related to geographical locations
703,0.11755,specific structural elements or commands in programming and mathematical contexts,conditional statements and their structure in programming, proper nouns related to geographical locations
704,0.11755,specific structural elements or commands in programming and mathematical contexts,references to diabetes, proper nouns related to geographical locations
705,0.11755,specific structural elements or commands in programming and mathematical contexts,specific structural elements or commands in programming and mathematical contexts, proper nouns related to geographical locations
706,0.11755,specific structural elements or commands in programming and mathematical contexts,references to significant figures or events in revolutionary contexts, proper nouns related to geographical locations
707,0.11755,specific structural elements or commands in programming and mathematical contexts," references to statistical data or variables represented by ""Y""", proper nouns related to geographical locations
708,-0.11743, references to policy and decision-making, mathematical symbols or formatting related to equations, expressions related to family relationships and survival
709,-0.11743, references to policy and decision-making,phrases indicating recalls or defects in products, expressions related to family relationships and survival
710,-0.11743, references to policy and decision-making,sentences that discuss expressing gratitude or calling for action, expressions related to family relationships and survival
711,-0.11743, references to policy and decision-making, references to specific medical conditions and diagnostic terms, expressions related to family relationships and survival
712,-0.11743, references to policy and decision-making, coordinating conjunctions used to connect clauses or phrases, expressions related to family relationships and survival
713,-0.11743, references to policy and decision-making,discussions about social relationships and community dynamics, expressions related to family relationships and survival
714,-0.11743, references to policy and decision-making,references to cause-and-effect relationships, expressions related to family relationships and survival
715,-0.11743, references to policy and decision-making,specific chemical compounds and their variations, expressions related to family relationships and survival
716,-0.11743, references to policy and decision-making,terms related to the population and cultural aspects of indigenous groups, expressions related to family relationships and survival
717,-0.11743, references to policy and decision-making,references to bathrooms and related fixtures, expressions related to family relationships and survival
718,-0.1173, frequencies of occurrences or items in lists and counts, programming code elements and syntax, locations and venues related to events
719,-0.1173, frequencies of occurrences or items in lists and counts, references to traditional practices or concepts, locations and venues related to events
720,-0.1173, frequencies of occurrences or items in lists and counts,references to government officials and their roles, locations and venues related to events
721,-0.1173, frequencies of occurrences or items in lists and counts,phrases and terms associated with personal connections and emotional experiences, locations and venues related to events
722,-0.1173, frequencies of occurrences or items in lists and counts,"references to specific companies, products, and notable figures in the audio and entertainment industry", locations and venues related to events
723,-0.1173, frequencies of occurrences or items in lists and counts,references to items or objects in a structured format, locations and venues related to events
